date,customer_id,store_id,item_id,total_amount
2013-01-01,c359608,s1,i1,13.00
2013-01-01,c204910,s2,i1,12.00
2013-01-01,c140069,s3,i1,19.00
2013-01-01,c398433,s4,i1,10.00
2013-01-01,c039384,s5,i1,11.00
2013-01-01,c436319,s6,i1,20.00
2013-01-01,c439301,s7,i1,7.00
2013-01-01,c426836,s8,i1,16.00
2013-01-01,c401724,s9,i1,11.00
2013-01-01,c312701,s10,i1,14.00
2013-01-02,c318958,s1,i1,11.00
2013-01-02,c098215,s2,i1,16.00
2013-01-02,c062064,s3,i1,8.00
2013-01-02,c179521,s4,i1,12.00
2013-01-02,c123588,s5,i1,9.00
2013-01-02,c226233,s6,i1,6.00
2013-01-02,c066341,s7,i1,4.00
2013-01-02,c218552,s8,i1,10.00
2013-01-02,c291667,s9,i1,9.00
2013-01-02,c481072,s10,i1,14.00
2013-01-03,c138842,s1,i1,14.00
2013-01-03,c297150,s2,i1,16.00
2013-01-03,c176096,s3,i1,10.00
2013-01-03,c002696,s4,i1,8.00
2013-01-03,c071026,s5,i1,12.00
2013-01-03,c372272,s6,i1,11.00
2013-01-03,c282631,s7,i1,8.00
2013-01-03,c463371,s8,i1,12.00
2013-01-03,c017734,s9,i1,20.00
2013-01-03,c399041,s10,i1,16.00
2013-01-04,c358897,s1,i1,13.00
2013-01-04,c017118,s2,i1,20.00
2013-01-04,c038912,s3,i1,15.00
2013-01-04,c373164,s4,i1,15.00
2013-01-04,c400426,s5,i1,8.00
2013-01-04,c250126,s6,i1,7.00
2013-01-04,c398913,s7,i1,7.00
2013-01-04,c168913,s8,i1,21.00
2013-01-04,c454492,s9,i1,22.00
2013-01-04,c409386,s10,i1,17.00
2013-01-05,c208687,s1,i1,10.00
2013-01-05,c255017,s2,i1,16.00
2013-01-05,c320677,s3,i1,22.00
2013-01-05,c363637,s4,i1,19.00
2013-01-05,c399097,s5,i1,13.00
2013-01-05,c300351,s6,i1,12.00
2013-01-05,c042447,s7,i1,8.00
2013-01-05,c361240,s8,i1,15.00
2013-01-05,c232040,s9,i1,22.00
2013-01-05,c148723,s10,i1,12.00
2013-01-06,c054940,s1,i1,12.00
2013-01-06,c360640,s2,i1,18.00
2013-01-06,c464148,s3,i1,22.00
2013-01-06,c400057,s4,i1,14.00
2013-01-06,c480977,s5,i1,15.00
2013-01-06,c110370,s6,i1,9.00
2013-01-06,c349345,s7,i1,10.00
2013-01-06,c201607,s8,i1,27.00
2013-01-06,c063496,s9,i1,11.00
2013-01-06,c241641,s10,i1,11.00
2013-01-07,c377027,s1,i1,10.00
